# MoMo RefID glossary v2026-05-18 (2827 unique refids)
# Source: materials/MoMo RefID update 18 May 26.xlsx (team Product, updated mỗi đợt release)
# Format: name<TAB>refid, sorted ASC by refid
# Lookup patterns (see Rule 1.8 in guardrail):
#   Validate exists:  awk -F"	" -v r="<refid>" '$2==r{ok=1;exit} END{exit !ok}' refid-glossary.tsv
#   Get name:         awk -F"	" -v r="<refid>" '$2==r{print $1}' refid-glossary.tsv
#   Search by name:   grep -i "<keyword>" refid-glossary.tsv
name	refid
Dự án nổi bật	charity_wallet_highlight
Trái tim nhân ái	charity_wallet_thematic
Chat	chat_conversation
Chat Conversation SDK	chat_conversation_module
Tạo nhóm	chat_create_room
Khám phá	chat_friend_request
Thiệp mừng	chat_greeting_preview
GroupConversation	chat_group_conversation
Chat Group Conversation Module	chat_group_conversation_module
KOL Chat	chat_kol
Cài đặt	chat_management_screen
Chat Top Menu	chat_menu
Tìm kiếm	chat_search
Cài đặt nhận tin nhắn	chat_setting_screen
Chat Share Component	chat_share_component
Chat test screen	chat_test_screen
Trợ thủ Al - Mo247	chatbot
Nước Sạch Châu Giang	chaugiang_water
Tra cứu lừa đảo	check_scam
An toàn thiết bị	check_security
Điểm danh mỗi ngày	checkin
New Year Party	checkin_m15
Delivery	checkout_order
SurveyGifts	choose_gift
Chọn hoặc nhập mã	choose_promotion_v2
Bệnh viện Chợ Rẫy	choray_web_payment
Nạp Đồng Tốt	chotot
Chung cư 584	chungcu584_cc
Cornerstone	cico_cornerstone
Mở Thẻ Hoppers	cinema_blindbox
Cinema Cornerstone	cinema_cornerstone
cinema_deeplink_pocket	cinema_deeplink_pocket
Mua vé xem phim	cinema_get_ticket_lotte
Phim Nhà Gia Tiên	cinema_info_film
Phim Tee Yod: Quỷ Ăn Tạng 3	cinema_info_film_game
Cinema	cinema_leaderboard
Mua vé xem phim	cinema_mini
Mua vé xem phim	cinema_mini_select_film
Mua vé xem phim	cinema_mini_select_theather
Cinema Summary	cinema_summary
Theater	cinema_theater
Theme Seat	cinema_theme_seat
City/ Province List	city_province_list
Widget tích xu / tích tem	coin_hoarding_widget
Giới thiệu Đối tác MoMo	collaborators_app
Đăng nhập giới thiệu đối tác MoMo	collaborators_app_sign_in
Thu hộ Vietnamobile	collecting_vietnamobile
BST khách sạn yêu thích	collection_be_share
Chi tiết BST của tôi	collection_detail
Chi tiết BST KOL	collection_kol_detail
Thiết lập loa thông báo	com_bu_sound_order_merchant_template
Comming Soon	comming_soon
Complex Pass Rules	complex_pass_rules
Telco Component Status	componentStatus
Thẻ quà tặng có điều kiện	conditional_voucher
Config Campaign For AppsFlyer	config_event_appsflyer_sdk
Config Campaign For Facebook	config_event_facebook_sdk
Config Campaign For TikTok	config_event_tiktok_sdk
Config Feature AIO QR	config_feature_aioqr_p2p
Config Guide Payment	config_guide_payment
Config hastag search	config_hastag_search
Config New MaxApi	config_new_max_api
Config KQGD	config_payment_result
Danh bạ	contact_compose
Danh Bạ P2P	contact_compose_p2p
Danh bạ P2P	contact_native_p2p
Danh bạ P2P	contact_p2p
Danh bạ P2P	contact_tab_p2p
Danh bạ	contacts
Trò chuyện	conversation_list
Corex Config	corex_config
Corner Stone	cornerstone
Cornerstone Mega 2025	cornerstone_mega2025
Cornerstone	cornerstone_widget
Mở tài khoản ngân hàng	create_bank_account
Xem thông tin tài khoản	create_bank_account_info
Mở tài khoản ngân hàng	create_bank_account_options
Mở tài khoản Shinhan	create_bank_account_shinhan
Tạo quỹ	create_fund
Tạo quỹ	create_fund_template
Tạo quỹ mục tiêu	create_goal_fund
Tạo tiền mừng 2025	create_luckymoney_2025
Tạo chương trình khuyến mãi	create_promotion
